#Firmware: console20250221 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,132096.342,132096.342,0,0
0,0,0,1,132096.995,0.653,0,0
1,0,0,1,132097.403,0.408,0,0
0,0,0,1,132098.052,0.649,0,0
1,0,0,1,132098.462,0.41,0,0
0,0,0,1,132099.112,0.65,0,0
1,0,0,1,132099.522,0.41,0,0
0,0,0,1,132100.174,0.652,0,0
1,0,0,1,132100.585,0.411,0,0
0,0,0,1,132101.233,0.648,0,0
1,0,0,1,132101.645,0.412,0,0
0,0,0,1,132102.296,0.651,0,0
1,0,0,1,132102.707,0.411,0,0
0,0,0,1,132103.362,0.655,0,0
1,0,0,1,132103.772,0.41,0,1
0,0,0,1,132104.424,0.652,0,1
1,0,0,1,132104.836,0.412,0,1
0,0,0,1,132105.49,0.654,0,1
1,0,0,1,132105.903,0.413,0,1
0,0,0,1,132106.56,0.657,0,0
1,0,0,1,132106.971,0.411,0,0
0,0,0,1,132107.624,0.653,0,0
1,0,0,1,132108.037,0.413,0,0
0,0,0,1,132108.691,0.654,0,0
1,0,0,1,132109.102,0.411,0,0
0,0,0,1,132109.76,0.658,0,0
1,0,0,1,132110.169,0.409,0,0
0,0,0,1,132110.821,0.652,0,0
1,0,0,1,132111.234,0.413,0,0
0,0,0,1,132111.886,0.652,0,0
1,0,0,1,132112.297,0.411,0,0
0,0,0,1,132112.952,0.655,0,0
1,0,0,1,132113.362,0.41,0,0
0,0,0,1,132114.013,0.651,0,0
1,0,0,1,132114.423,0.41,0,0
0,0,0,1,132115.076,0.653,0,0
1,0,0,1,132115.485,0.409,0,0
0,0,0,1,132116.14,0.655,0,0
1,0,0,1,132116.547,0.407,0,0
0,0,0,1,132117.197,0.65,0,0
1,0,0,1,132117.606,0.409,0,0
0,0,0,1,132118.258,0.652,0,0
1,0,0,1,132118.666,0.408,0,0
0,0,0,1,132119.321,0.655,0,0
1,0,0,1,132119.728,0.407,0,0
0,0,0,1,132120.379,0.651,0,0
1,0,0,1,132120.788,0.409,0,0
0,0,0,1,132121.439,0.651,0,0
1,0,0,1,132121.849,0.41,0,0
0,0,0,1,132122.502,0.653,0,0
1,0,0,1,132122.911,0.409,0,0
0,0,0,1,132123.56,0.649,0,0
1,0,0,1,132123.971,0.411,0,0
0,0,0,1,132124.621,0.65,0,0
1,0,0,1,132125.031,0.41,0,0
0,0,0,1,132125.684,0.653,0,0
1,0,0,1,132126.093,0.409,0,0
0,0,0,1,132126.741,0.648,0,0
1,0,0,1,132127.152,0.411,0,0
0,0,0,1,132127.801,0.649,0,0
1,0,0,1,132128.212,0.411,0,0
0,0,0,1,132128.863,0.651,0,0
1,0,0,1,132129.273,0.41,0,0
0,0,0,1,132129.921,0.648,0,0
1,0,0,1,132130.331,0.41,0,0
0,0,0,1,132130.981,0.65,0,0
1,0,0,1,132131.391,0.41,0,0
0,0,0,1,132132.042,0.651,0,0
1,0,0,1,132132.454,0.412,0,0
0,0,0,1,132133.101,0.647,0,0
1,0,0,1,132133.514,0.413,0,0
0,0,0,1,132134.164,0.65,1,0
1,0,0,1,132134.576,0.412,1,0
0,0,0,1,132135.23,0.654,1,0
1,0,0,1,132135.641,0.411,1,1
0,0,0,1,132136.292,0.651,1,1
1,0,0,1,132136.706,0.414,1,1
0,0,0,1,132137.36,0.654,1,1
1,0,0,1,132137.773,0.413,1,1
0,0,0,1,132138.43,0.657,1,0
1,0,0,1,132138.842,0.412,1,0
0,0,0,1,132139.495,0.653,1,0
1,0,0,1,132139.908,0.413,1,0
0,0,0,1,132140.562,0.654,1,0
1,0,0,1,132140.975,0.413,1,0
0,0,0,1,132141.631,0.656,1,0
1,0,0,1,132142.043,0.412,1,0
0,0,0,1,132142.693,0.65,1,0
1,0,0,1,132143.108,0.415,1,0
0,0,0,1,132143.758,0.65,1,0
1,0,0,1,132144.172,0.414,1,0
0,0,0,1,132144.824,0.652,1,0
1,0,0,1,132145.236,0.412,1,0
0,0,0,1,132145.883,0.647,1,0
1,0,0,1,132146.295,0.412,1,0
0,0,0,1,132146.943,0.648,1,0
1,0,0,1,132147.354,0.411,1,0
0,0,0,1,132148.002,0.648,1,0
1,0,0,1,132148.413,0.411,1,0
0,0,0,1,132149.057,0.644,1,0
1,0,0,1,132149.469,0.412,1,0
0,0,0,1,132150.114,0.645,1,0
1,0,0,1,132150.526,0.412,1,0
0,0,0,1,132151.174,0.648,1,0
1,0,0,1,132151.584,0.41,1,0
0,0,0,1,132153.264,1.68,1,0
1,0,0,1,132154.444,1.18,1,0
0,0,0,1,132155.412,0.968,1,0
1,0,0,1,132155.81,0.398,1,0
0,0,0,1,132156.46,0.65,1,0
1,0,0,1,132156.869,0.409,1,0
0,0,0,1,132157.517,0.648,1,0
1,0,0,1,132157.926,0.409,1,0
0,0,0,1,132158.573,0.647,1,0
1,0,0,1,132158.983,0.41,1,0
0,0,0,1,132159.631,0.648,1,0
1,0,0,1,132160.04,0.409,1,0
0,0,0,1,132160.689,0.649,1,0
1,0,0,1,132161.097,0.408,1,0
0,0,0,1,132161.742,0.645,1,0
1,0,0,1,132162.151,0.409,1,0
0,0,0,1,132162.798,0.647,1,0
1,0,0,1,132163.206,0.408,1,0
0,0,0,1,132163.856,0.65,1,0
1,0,0,1,132164.264,0.408,1,0
0,0,0,1,132164.909,0.645,0,0
1,0,0,1,132165.32,0.411,0,0
0,0,0,1,132165.968,0.648,0,0
1,0,0,1,132166.377,0.409,0,0
0,0,0,1,132167.028,0.651,0,0
1,0,0,1,132167.437,0.409,0,1
0,0,0,1,132168.086,0.649,0,1
1,0,0,1,132168.497,0.411,0,1
0,0,0,1,132169.147,0.65,0,1
1,0,0,1,132169.559,0.412,0,1
1,0,1,1,132169.63,0.071,0,1
1,0,0,1,132169.632,0.002,0,1
0,0,0,1,132170.212,0.58,0,0
1,0,0,1,132170.622,0.41,0,0
0,0,0,1,132171.271,0.649,0,0
1,0,0,1,132171.683,0.412,0,0
0,0,0,1,132172.334,0.651,0,0
1,0,0,1,132172.743,0.409,0,0
0,0,0,1,132173.397,0.654,0,0
1,0,0,1,132173.805,0.408,0,0
0,0,0,1,132174.454,0.649,0,0
1,0,0,1,132174.865,0.411,0,0
0,0,0,1,132175.515,0.65,0,0
1,0,0,1,132175.924,0.409,0,0
0,0,0,1,132176.577,0.653,0,0
1,0,0,1,132176.984,0.407,0,0
0,0,0,1,132177.633,0.649,0,0
1,0,0,1,132178.041,0.408,0,0
0,0,0,1,132178.691,0.65,0,0
1,0,0,1,132179.098,0.407,0,0
0,0,0,1,132179.75,0.652,0,0
1,0,0,1,132180.155,0.405,0,0
0,0,0,1,132180.803,0.648,0,0
1,0,0,1,132181.21,0.407,0,0
0,0,0,1,132181.859,0.649,0,0
1,0,0,1,132182.266,0.407,0,0
0,0,0,1,132182.918,0.652,0,0
1,0,0,1,132183.323,0.405,0,0
0,0,0,1,132183.971,0.648,0,0
1,0,0,1,132184.379,0.408,0,0
0,0,0,1,132185.027,0.648,0,0
1,0,0,1,132185.436,0.409,0,0
0,0,0,1,132186.086,0.65,0,0
1,0,0,1,132186.494,0.408,0,0
0,0,0,1,132187.14,0.646,0,0
1,0,0,1,132187.549,0.409,0,0
0,0,0,1,132188.198,0.649,0,0
1,0,0,1,132188.606,0.408,0,0
0,0,0,1,132189.257,0.651,0,0
1,0,0,1,132189.664,0.407,0,0
0,0,0,1,132190.31,0.646,0,0
1,0,0,1,132190.72,0.41,0,0
0,0,0,1,132191.367,0.647,0,0
1,0,0,1,132191.776,0.409,0,0
0,0,0,1,132192.426,0.65,0,0
1,0,0,1,132192.834,0.408,0,0
0,0,0,1,132193.48,0.646,0,0
1,0,0,1,132193.89,0.41,0,0
0,0,0,1,132194.537,0.647,0,0
1,0,0,1,132194.946,0.409,0,0
0,0,0,1,132195.596,0.65,0,0
1,0,0,1,132196.006,0.41,0,0
0,0,0,1,132196.651,0.645,0,0
1,0,0,1,132197.063,0.412,0,0
0,0,0,1,132197.711,0.648,1,0
1,0,0,1,132198.122,0.411,1,0
0,0,0,1,132198.775,0.653,1,0
1,0,0,1,132199.184,0.409,1,1
0,0,0,1,132199.834,0.65,1,1
1,0,0,1,132200.246,0.412,1,1
0,0,0,1,132200.898,0.652,1,1
1,0,0,1,132201.309,0.411,1,1
0,0,0,1,132201.964,0.655,1,0
1,0,0,1,132202.375,0.411,1,0
0,0,0,1,132203.025,0.65,1,0
1,0,0,1,132203.437,0.412,1,0
0,0,0,1,132204.089,0.652,1,0
1,0,0,1,132204.5,0.411,1,0
0,0,0,1,132205.154,0.654,1,0
1,0,0,1,132205.564,0.41,1,0
0,0,0,1,132206.212,0.648,1,0
1,0,0,1,132206.625,0.413,1,0
0,0,0,1,132207.274,0.649,1,0
1,0,0,1,132207.686,0.412,1,0
0,0,0,1,132208.336,0.65,1,0
1,0,0,1,132208.746,0.41,1,0
0,0,0,1,132209.391,0.645,1,0
1,0,0,1,132209.803,0.412,1,0
0,0,0,1,132210.449,0.646,1,0
1,0,0,1,132210.859,0.41,1,0
0,0,0,1,132211.506,0.647,1,0
1,0,0,1,132211.916,0.41,1,0
0,0,0,1,132212.559,0.643,1,0
1,0,0,1,132212.97,0.411,1,0
0,0,0,1,132213.614,0.644,1,0
1,0,0,1,132214.025,0.411,1,0
0,0,0,1,132214.671,0.646,1,0
