#Firmware: console20250221 firmware 20250309@3858044272 proteus MINIMAL_PINS 5
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,0,1.2890318663E7,1.2890318663E7,0,0
1,0,0,0,1.2890324413E7,5.75,0,0
0,0,0,0,1.2890331759E7,7.346,0,0
1,0,0,0,1.2890335776E7,4.017,0,0
0,0,0,0,1.2890341929E7,6.153,0,0
1,0,0,0,1.2890345435E7,3.506,0,0
0,0,0,0,1.2890350936E7,5.501,0,0
1,0,0,0,1.2890354163E7,3.227,0,0
0,0,0,0,1.2890359247E7,5.084,0,0
1,0,0,0,1.2890362251E7,3.004,0,0
0,0,0,0,1.2890367123E7,4.872,0,0
1,0,0,0,1.2890369939E7,2.816,0,0
0,0,0,0,1.2890374556E7,4.617,0,0
1,0,0,0,1.2890377323E7,2.767,0,0
0,0,0,0,1.289038183E7,4.507,0,0
1,0,0,0,1.2890384522E7,2.692,0,0
0,0,0,0,1.2890388989E7,4.467,0,0
1,0,0,0,1.2890391651E7,2.662,0,0
0,0,0,0,1.2890396074E7,4.423,0,0
1,0,0,0,1.289039869E7,2.616,0,0
0,0,0,0,1.2890403106E7,4.416,0,0
1,0,0,0,1.2890405733E7,2.627,0,0
0,0,0,0,1.2890410103E7,4.37,0,0
1,0,0,0,1.2890412707E7,2.604,0,0
0,0,0,0,1.289041701E7,4.303,0,0
1,0,0,0,1.2890419542E7,2.532,0,0
0,0,0,0,1.2890423699E7,4.157,0,0
1,0,0,0,1.2890426148E7,2.449,0,0
0,0,0,0,1.2890430128E7,3.98,0,0
1,0,0,0,1.2890432434E7,2.306,0,0
0,0,0,0,1.289043612E7,3.686,0,0
1,0,0,0,1.2890438302E7,2.182,0,0
0,0,0,0,1.2890441802E7,3.5,0,0
1,0,0,0,1.2890443852E7,2.05,0,0
0,0,0,0,1.2890447168E7,3.316,0,0
1,0,0,0,1.2890449109E7,1.941,0,0
0,0,0,0,1.2890452264E7,3.155,0,0
1,0,0,0,1.2890454138E7,1.874,0,0
0,0,0,0,1.2890457186E7,3.048,0,0
1,0,0,0,1.2890458982E7,1.796,0,0
0,0,0,0,1.2890461939E7,2.957,0,0
1,0,0,0,1.2890463676E7,1.737,0,0
0,0,0,0,1.2890466548E7,2.872,0,0
1,0,0,0,1.2890468259E7,1.711,0,0
0,0,0,0,1.2890471088E7,2.829,0,0
1,0,0,0,1.2890472766E7,1.678,0,0
0,0,0,0,1.2890475572E7,2.806,0,0
1,0,0,0,1.2890477215E7,1.643,0,0
0,0,0,0,1.2890479967E7,2.752,0,0
1,0,0,0,1.2890481615E7,1.648,0,0
0,0,0,0,1.2890484359E7,2.744,0,0
1,0,0,0,1.2890485986E7,1.627,0,0
0,0,0,0,1.2890488706E7,2.72,0,0
1,0,0,0,1.2890490311E7,1.605,0,0
0,0,0,0,1.2890493E7,2.689,0,0
1,0,0,0,1.2890494615E7,1.615,0,0
0,0,0,0,1.2890497315E7,2.7,0,0
1,0,0,0,1.2890498929E7,1.614,0,0
0,0,0,0,1.2890501635E7,2.706,0,0
1,0,0,0,1.2890503234E7,1.599,0,0
0,0,0,0,1.2890505931E7,2.697,0,0
1,0,0,0,1.2890507538E7,1.607,0,0
0,0,0,0,1.2890510241E7,2.703,0,0
1,0,0,0,1.2890511856E7,1.615,0,0
0,0,0,0,1.2890514573E7,2.717,0,0
1,0,0,0,1.2890516197E7,1.624,0,0
0,0,0,0,1.2890518932E7,2.735,0,0
1,0,0,0,1.2890520577E7,1.645,0,0
0,0,0,0,1.2890523354E7,2.777,0,0
1,0,0,0,1.2890525019E7,1.665,0,0
0,0,0,0,1.2890527859E7,2.84,0,0
1,0,0,0,1.2890529557E7,1.698,0,0
0,0,0,0,1.2890532434E7,2.877,0,0
1,0,0,0,1.2890534185E7,1.751,0,0
0,0,0,0,1.2890537171E7,2.986,0,0
1,0,0,0,1.2890538954E7,1.783,0,0
0,0,0,0,1.289054207E7,3.116,0,0
1,0,0,0,1.2890543937E7,1.867,0,0
