#Firmware: console20250221 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,20963.585,20963.585,0,0
0,0,0,1,20964.511,0.926,0,0
1,0,0,1,20966.815,2.304,0,0
0,0,0,1,20968.29,1.475,0,0
1,0,0,1,20969.237,0.947,0,0
0,0,0,1,20970.166,0.929,0,0
1,0,0,1,20971.123,0.957,0,0
0,0,0,1,20972.049,0.926,0,0
1,0,0,1,20973.005,0.956,0,0
0,0,0,1,20973.93,0.925,0,0
1,0,0,1,20974.886,0.956,0,0
0,0,0,1,20975.813,0.927,0,0
1,0,0,1,20976.773,0.96,0,0
0,0,0,1,20977.703,0.93,0,0
1,0,0,1,20978.664,0.961,1,0
0,0,0,1,20979.595,0.931,1,1
1,0,0,1,20980.561,0.966,1,1
0,0,0,1,20981.5,0.939,1,1
1,0,0,1,20982.472,0.972,1,0
0,0,0,1,20983.413,0.941,1,0
1,0,0,1,20984.383,0.97,1,0
0,0,0,1,20985.324,0.941,1,0
1,0,0,1,20986.296,0.972,1,0
0,0,0,1,20987.239,0.943,1,0
1,0,0,1,20988.21,0.971,1,0
0,0,0,1,20989.152,0.942,1,0
1,0,0,1,20990.12,0.968,1,0
0,0,0,1,20991.058,0.938,1,0
1,0,0,1,20992.024,0.966,1,0
0,0,0,1,20992.961,0.937,1,0
1,0,0,1,20993.927,0.966,1,0
0,0,0,1,20994.864,0.937,1,0
1,0,0,1,20995.824,0.96,1,0
0,0,0,1,20996.756,0.932,1,0
1,0,0,1,20997.716,0.96,1,0
0,0,0,1,20998.649,0.933,1,0
1,0,0,1,20999.611,0.962,1,0
0,0,0,1,21000.542,0.931,1,0
1,0,0,1,21001.501,0.959,1,0
0,0,0,1,21002.431,0.93,1,0
1,0,0,1,21003.393,0.962,1,0
0,0,0,1,21004.323,0.93,1,0
1,0,0,1,21005.284,0.961,1,0
0,0,0,1,21006.211,0.927,1,0
1,0,0,1,21007.174,0.963,1,0
0,0,0,1,21008.103,0.929,1,0
1,0,0,1,21009.068,0.965,1,0
0,0,0,1,21009.997,0.929,1,0
1,0,0,1,21010.964,0.967,1,0
0,0,0,1,21011.894,0.93,1,0
1,0,0,1,21012.863,0.969,1,0
0,0,0,1,21013.798,0.935,1,1
1,0,0,1,21014.773,0.975,1,1
0,0,0,1,21015.712,0.939,1,1
1,0,0,1,21016.689,0.977,1,0
0,0,0,1,21017.63,0.941,1,0
1,0,0,1,21018.608,0.978,1,0
0,0,0,1,21019.55,0.942,1,0
1,0,0,1,21020.53,0.98,1,0
0,0,0,1,21021.472,0.942,1,0
1,0,0,1,21022.448,0.976,1,0
0,0,0,1,21023.387,0.939,1,0
1,0,0,1,21024.362,0.975,1,0
0,0,0,1,21025.301,0.939,1,0
1,0,0,1,21026.276,0.975,1,0
0,0,0,1,21027.214,0.938,1,0
1,0,0,1,21028.183,0.969,1,0
0,0,0,1,21029.118,0.935,1,0
1,0,0,1,21030.085,0.967,1,0
0,0,0,1,21031.019,0.934,1,0
1,0,0,1,21031.986,0.967,1,0
0,0,0,1,21032.917,0.931,1,0
1,0,0,1,21035.239,2.322,1,0
0,0,0,1,21036.717,1.478,1,0
1,0,0,1,21037.67,0.953,1,0
0,0,0,1,21038.602,0.932,1,0
1,0,0,1,21039.563,0.961,1,0
0,0,0,1,21040.496,0.933,1,0
1,0,0,1,21041.46,0.964,1,0
0,0,0,1,21042.393,0.933,1,0
1,0,0,1,21043.356,0.963,1,0
0,0,0,1,21044.287,0.931,1,0
1,0,0,1,21045.252,0.965,1,0
0,0,0,1,21046.188,0.936,1,0
1,0,0,1,21047.158,0.97,0,0
0,0,0,1,21048.097,0.939,0,1
1,0,0,1,21049.068,0.971,0,1
1,0,1,1,21049.503,0.435,0,1
1,0,0,1,21049.506,0.003,0,1
0,0,0,1,21050.01,0.504,0,1
1,0,0,1,21050.983,0.973,0,0
0,0,0,1,21051.928,0.945,0,0
1,0,0,1,21052.904,0.976,0,0
0,0,0,1,21053.851,0.947,0,0
1,0,0,1,21054.826,0.975,0,0
0,0,0,1,21055.77,0.944,0,0
1,0,0,1,21056.744,0.974,0,0
0,0,0,1,21057.688,0.944,0,0
1,0,0,1,21058.662,0.974,0,0
0,0,0,1,21059.605,0.943,0,0
1,0,0,1,21060.575,0.97,0,0
0,0,0,1,21061.513,0.938,0,0
1,0,0,1,21062.481,0.968,0,0
0,0,0,1,21063.421,0.94,0,0
1,0,0,1,21064.388,0.967,0,0
0,0,0,1,21065.325,0.937,0,0
1,0,0,1,21066.289,0.964,0,0
0,0,0,1,21067.223,0.934,0,0
1,0,0,1,21068.188,0.965,0,0
0,0,0,1,21069.122,0.934,0,0
1,0,0,1,21070.088,0.966,0,0
0,0,0,1,21071.022,0.934,0,0
1,0,0,1,21071.986,0.964,0,0
0,0,0,1,21072.92,0.934,0,0
1,0,0,1,21073.888,0.968,0,0
0,0,0,1,21074.823,0.935,0,0
1,0,0,1,21075.792,0.969,0,0
0,0,0,1,21076.723,0.931,0,0
1,0,0,1,21077.694,0.971,0,0
0,0,0,1,21078.63,0.936,0,0
1,0,0,1,21079.605,0.975,0,0
0,0,0,1,21080.543,0.938,0,0
1,0,0,1,21081.52,0.977,1,0
0,0,0,1,21082.459,0.939,1,1
1,0,0,1,21083.439,0.98,1,1
0,0,0,1,21084.386,0.947,1,1
1,0,0,1,21085.371,0.985,1,0
0,0,0,1,21086.317,0.946,1,0
1,0,0,1,21087.301,0.984,1,0
0,0,0,1,21088.248,0.947,1,0
1,0,0,1,21089.233,0.985,1,0
0,0,0,1,21090.18,0.947,1,0
1,0,0,1,21091.161,0.981,1,0
0,0,0,1,21092.105,0.944,1,0
1,0,0,1,21093.083,0.978,1,0
0,0,0,1,21094.023,0.94,1,0
1,0,0,1,21094.999,0.976,1,0
0,0,0,1,21095.938,0.939,1,0
1,0,0,1,21096.906,0.968,1,0
0,0,0,1,21097.84,0.934,1,0
1,0,0,1,21098.804,0.964,1,0
0,0,0,1,21099.736,0.932,1,0
1,0,0,1,21100.699,0.963,1,0
0,0,0,1,21101.628,0.929,1,0
1,0,0,1,21103.944,2.316,1,0
0,0,0,1,21105.419,1.475,1,0
1,0,0,1,21106.374,0.955,1,0
0,0,0,1,21107.308,0.934,1,0
1,0,0,1,21108.268,0.96,1,0
0,0,0,1,21109.199,0.931,1,0
1,0,0,1,21110.162,0.963,1,0
0,0,0,1,21111.095,0.933,1,0
1,0,0,1,21112.058,0.963,1,0
0,0,0,1,21112.989,0.931,1,0
1,0,0,1,21113.955,0.966,1,0
0,0,0,1,21114.89,0.935,1,0
1,0,0,1,21115.86,0.97,1,0
0,0,0,1,21116.8,0.94,1,1
1,0,0,1,21117.771,0.971,1,1
0,0,0,1,21118.712,0.941,1,1
1,0,0,1,21119.686,0.974,1,0
0,0,0,1,21120.632,0.946,1,0
1,0,0,1,21121.608,0.976,1,0
0,0,0,1,21122.553,0.945,1,0
1,0,0,1,21123.526,0.973,1,0
0,0,0,1,21124.465,0.939,1,0
1,0,0,1,21125.43,0.965,1,0
0,0,0,1,21126.364,0.934,1,0
1,0,0,1,21127.321,0.957,1,0
0,0,0,1,21128.246,0.925,1,0
1,0,0,1,21129.194,0.948,1,0
0,0,0,1,21130.112,0.918,1,0
1,0,0,1,21131.055,0.943,1,0
0,0,0,1,21131.973,0.918,1,0
1,0,0,1,21132.915,0.942,1,0
0,0,0,1,21133.831,0.916,1,0
1,0,0,1,21134.772,0.941,1,0
0,0,0,1,21135.685,0.913,1,0
1,0,0,1,21136.628,0.943,1,0
0,0,0,1,21137.545,0.917,1,0
1,0,0,1,21138.489,0.944,1,0
0,0,0,1,21139.406,0.917,1,0
1,0,0,1,21140.351,0.945,1,0
0,0,0,1,21141.267,0.916,1,0
1,0,0,1,21142.216,0.949,1,0
0,0,0,1,21143.133,0.917,1,0
1,0,0,1,21144.082,0.949,1,0
0,0,0,1,21144.997,0.915,1,0
1,0,0,1,21145.946,0.949,1,0
0,0,0,1,21146.864,0.918,1,0
1,0,0,1,21147.818,0.954,1,0
0,0,0,1,21148.737,0.919,1,0
1,0,0,1,21149.692,0.955,1,0
0,0,0,1,21150.613,0.921,1,1
1,0,0,1,21151.572,0.959,1,1
0,0,0,1,21152.496,0.924,1,1
1,0,0,1,21153.461,0.965,1,0
0,0,0,1,21154.389,0.928,1,0
1,0,0,1,21155.351,0.962,1,0
0,0,0,1,21156.279,0.928,1,0
1,0,0,1,21157.244,0.965,1,0
0,0,0,1,21158.172,0.928,1,0
1,0,0,1,21159.134,0.962,1,0
0,0,0,1,21160.062,0.928,1,0
1,0,0,1,21161.022,0.96,1,0
0,0,0,1,21161.947,0.925,1,0
1,0,0,1,21162.906,0.959,1,0
0,0,0,1,21163.832,0.926,1,0
1,0,0,1,21164.788,0.956,1,0
0,0,0,1,21165.711,0.923,1,0
1,0,0,1,21166.662,0.951,1,0
0,0,0,1,21167.585,0.923,1,0
1,0,0,1,21168.537,0.952,1,0
0,0,0,1,21169.455,0.918,1,0
1,0,0,1,21171.741,2.286,1,0
0,0,0,1,21173.2,1.459,1,0
