#Firmware: console20250221 firmware 20250309@3858044272 proteus MINIMAL_PINS 151
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,1,1.7330934318E7,1.7330934318E7,1,0
1,0,0,1,1.7330934725E7,0.407,1,0
0,0,0,1,1.7330935371E7,0.646,1,0
1,0,0,1,1.733093578E7,0.409,1,0
0,0,0,1,1.7330936429E7,0.649,1,0
1,0,0,1,1.7330936836E7,0.407,1,0
0,0,0,1,1.733093748E7,0.644,1,0
1,0,0,1,1.7330937889E7,0.409,1,0
0,0,0,1,1.7330938535E7,0.646,1,0
1,0,0,1,1.7330938943E7,0.408,1,0
0,0,0,1,1.7330939592E7,0.649,1,0
1,0,0,1,1.7330939999E7,0.407,1,0
0,0,0,1,1.7330940643E7,0.644,1,0
1,0,0,1,1.7330941052E7,0.409,1,0
0,0,0,1,1.7330941697E7,0.645,1,0
1,0,0,1,1.7330942106E7,0.409,1,0
0,0,0,1,1.7330942754E7,0.648,1,0
1,0,0,1,1.7330943161E7,0.407,1,0
0,0,0,1,1.7330943805E7,0.644,1,0
1,0,0,1,1.7330944213E7,0.408,1,0
0,0,0,1,1.7330944859E7,0.646,1,0
1,0,0,1,1.7330945267E7,0.408,1,0
0,0,0,1,1.7330945915E7,0.648,1,0
1,0,0,1,1.7330946324E7,0.409,1,0
0,0,0,1,1.7330946967E7,0.643,1,0
1,0,0,1,1.7330947377E7,0.41,1,0
0,0,0,1,1.7330948024E7,0.647,1,0
1,0,0,1,1.7330948433E7,0.409,1,0
0,0,0,1,1.7330949084E7,0.651,1,0
1,0,0,1,1.7330949492E7,0.408,1,1
0,0,0,1,1.733095014E7,0.648,1,1
1,0,0,1,1.7330950551E7,0.411,1,1
0,0,0,1,1.73309512E7,0.649,1,1
1,0,0,1,1.7330951611E7,0.411,1,1
0,0,0,1,1.7330952264E7,0.653,1,0
1,0,0,1,1.7330952674E7,0.41,1,0
0,0,0,1,1.7330953322E7,0.648,1,0
1,0,0,1,1.7330953733E7,0.411,1,0
0,0,0,1,1.7330954383E7,0.65,1,0
1,0,0,1,1.7330954793E7,0.41,1,0
0,0,0,1,1.7330955446E7,0.653,1,0
1,0,0,1,1.7330955855E7,0.409,1,0
0,0,0,1,1.7330956502E7,0.647,1,0
1,0,0,1,1.7330956914E7,0.412,1,0
0,0,0,1,1.7330957562E7,0.648,1,0
1,0,0,1,1.7330957974E7,0.412,1,0
0,0,0,1,1.7330958624E7,0.65,1,0
1,0,0,1,1.7330959034E7,0.41,1,0
