#Firmware: console20250221 firmware 20250309@3858044272 proteus MINIMAL_PINS 5
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,0,4300909.972,4300909.972,0,0
1,0,0,0,4300917.539,7.567,0,0
0,0,0,0,4300931.072,13.533,0,0
1,0,0,0,4300937.315,6.243,0,0
0,0,0,0,4300945.555,8.24,0,0
1,0,0,0,4300950.352,4.797,0,0
0,0,0,0,4300957.155,6.803,0,0
1,0,0,0,4300961.163,4.008,0,0
0,0,0,0,4300967.292,6.129,0,0
1,0,0,0,4300970.831,3.539,0,0
0,0,0,0,4300976.419,5.588,0,0
1,0,0,0,4300979.684,3.265,0,0
0,0,0,0,4300984.916,5.232,0,0
1,0,0,0,4300988.002,3.086,0,0
0,0,0,0,4300992.961,4.959,0,0
1,0,0,0,4300995.875,2.914,0,0
0,0,0,0,4301000.603,4.728,0,0
1,0,0,0,4301003.367,2.764,0,0
0,0,0,0,4301007.814,4.447,0,0
1,0,0,0,4301010.452,2.638,0,0
0,0,0,0,4301014.721,4.269,0,0
1,0,0,0,4301017.204,2.483,0,0
0,0,0,0,4301021.191,3.987,0,0
1,0,0,0,4301023.561,2.37,0,0
0,0,0,0,4301027.389,3.828,0,0
1,0,0,0,4301029.634,2.245,0,0
0,0,0,0,4301033.293,3.659,0,0
1,0,0,0,4301035.442,2.149,0,0
0,0,0,0,4301038.952,3.51,0,0
1,0,0,0,4301041.028,2.076,0,0
0,0,0,0,4301044.428,3.4,0,0
1,0,0,0,4301046.442,2.014,0,0
0,0,0,0,4301049.789,3.347,0,0
1,0,0,0,4301051.757,1.968,0,0
0,0,0,0,4301055.015,3.258,0,0
1,0,0,0,4301056.957,1.942,0,0
0,0,0,0,4301060.172,3.215,0,0
1,0,0,0,4301062.08,1.908,0,0
0,0,0,0,4301065.282,3.202,0,0
1,0,0,0,4301067.155,1.873,0,0
0,0,0,0,4301070.288,3.133,0,0
1,0,0,0,4301072.165,1.877,0,0
0,0,0,0,4301075.307,3.142,0,0
1,0,0,0,4301077.169,1.862,0,0
0,0,0,0,4301080.3,3.131,0,0
1,0,0,0,4301082.146,1.846,0,0
0,0,0,0,4301085.256,3.11,0,0
1,0,0,0,4301087.106,1.85,0,0
0,0,0,0,4301090.216,3.11,0,0
1,0,0,0,4301092.065,1.849,0,0
0,0,0,0,4301095.177,3.112,0,0
1,0,0,0,4301097.014,1.837,0,0
0,0,0,0,4301100.129,3.115,0,0
1,0,0,0,4301101.988,1.859,0,0
0,0,0,0,4301105.123,3.135,0,0
1,0,0,0,4301106.995,1.872,0,0
0,0,0,0,4301110.168,3.173,0,0
1,0,0,0,4301112.041,1.873,0,0
0,0,0,0,4301115.229,3.188,0,0
1,0,0,0,4301117.132,1.903,0,0
0,0,0,0,4301120.366,3.234,0,0
1,0,0,0,4301122.304,1.938,0,0
