#Firmware: console20250221 firmware 20250309@3858044272 proteus MINIMAL_PINS 269
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,1,1.11942098824E8,1.11942098824E8,1,0
1,0,0,1,1.11942099247E8,0.423,1,1
0,0,0,1,1.11942099926E8,0.679,0,1
1,0,0,1,1.11942100351E8,0.425,0,1
0,0,0,1,1.11942101031E8,0.68,0,1
1,0,0,1,1.11942101457E8,0.426,0,1
0,0,0,1,1.1194210214E8,0.683,0,0
1,0,0,1,1.11942102564E8,0.424,0,0
0,0,0,1,1.11942103244E8,0.68,0,0
1,0,0,1,1.11942103669E8,0.425,0,0
0,0,0,1,1.11942104349E8,0.68,0,0
1,0,0,1,1.11942104773E8,0.424,0,0
0,0,0,1,1.11942105455E8,0.682,0,0
1,0,0,1,1.11942105877E8,0.422,0,0
0,0,0,1,1.11942106554E8,0.677,0,0
1,0,0,1,1.11942106978E8,0.424,0,0
0,0,0,1,1.11942107654E8,0.676,0,0
1,0,0,1,1.11942108076E8,0.422,0,0
0,0,0,1,1.11942108754E8,0.678,0,0
1,0,0,1,1.11942109174E8,0.42,0,0
0,0,0,1,1.11942109847E8,0.673,0,0
1,0,0,1,1.11942110267E8,0.42,0,0
0,0,0,1,1.11942110941E8,0.674,0,0
1,0,0,1,1.11942111359E8,0.418,0,0
0,0,0,1,1.11942112035E8,0.676,0,0
1,0,0,1,1.11942112451E8,0.416,0,0
0,0,0,1,1.11942113122E8,0.671,0,0
1,0,0,1,1.11942113541E8,0.419,0,0
0,0,0,1,1.11942114212E8,0.671,0,0
1,0,0,1,1.11942114631E8,0.419,0,0
0,0,0,1,1.11942115306E8,0.675,0,0
1,0,0,1,1.11942115723E8,0.417,0,0
0,0,0,1,1.11942116394E8,0.671,0,0
1,0,0,1,1.11942116814E8,0.42,0,0
0,0,0,1,1.11942117486E8,0.672,0,0
1,0,0,1,1.11942117907E8,0.421,0,0
0,0,0,1,1.11942118581E8,0.674,0,0
1,0,0,1,1.11942119001E8,0.42,0,0
0,0,0,1,1.11942119671E8,0.67,0,0
1,0,0,1,1.11942120092E8,0.421,0,0
0,0,0,1,1.11942120764E8,0.672,0,0
1,0,0,1,1.11942121184E8,0.42,0,0
0,0,0,1,1.11942121859E8,0.675,0,0
1,0,0,1,1.11942122278E8,0.419,0,0
0,0,0,1,1.11942122948E8,0.67,0,0
1,0,0,1,1.1194212337E8,0.422,0,0
0,0,0,1,1.11942124041E8,0.671,0,0
1,0,0,1,1.11942124461E8,0.42,0,0
0,0,0,1,1.11942125135E8,0.674,0,0
1,0,0,1,1.11942125555E8,0.42,0,0
0,0,0,1,1.11942126224E8,0.669,0,0
1,0,0,1,1.11942126645E8,0.421,0,0
