#Firmware: console20250221 firmware 20250309@3858044272 proteus MINIMAL_PINS 208
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,6.4638297045E7,6.4638297045E7,0,0
0,0,0,1,6.4638297688E7,0.643,0,0
1,0,0,1,6.4638298095E7,0.407,0,0
1,0,1,1,6.4638298244E7,0.149,0,0
1,0,0,1,6.4638298246E7,0.002,0,0
0,0,0,1,6.4638298741E7,0.495,0,0
1,0,0,1,6.4638299147E7,0.406,0,0
0,0,0,1,6.4638299789E7,0.642,0,0
1,0,0,1,6.4638300196E7,0.407,0,0
0,0,0,1,6.4638300839E7,0.643,0,0
1,0,0,1,6.4638301245E7,0.406,0,0
0,0,0,1,6.4638301891E7,0.646,0,0
1,0,0,1,6.4638302295E7,0.404,0,0
0,0,0,1,6.4638302935E7,0.64,0,0
1,0,0,1,6.4638303342E7,0.407,0,0
0,0,0,1,6.4638303982E7,0.64,0,0
1,0,0,1,6.4638304387E7,0.405,0,0
0,0,0,1,6.4638305029E7,0.642,0,0
1,0,0,1,6.4638305431E7,0.402,0,0
0,0,0,1,6.4638306069E7,0.638,0,0
1,0,0,1,6.4638306472E7,0.403,0,0
0,0,0,1,6.463830711E7,0.638,0,0
1,0,0,1,6.4638307511E7,0.401,0,0
0,0,0,1,6.4638308151E7,0.64,0,0
1,0,0,1,6.4638308551E7,0.4,0,0
0,0,0,1,6.4638309186E7,0.635,0,0
1,0,0,1,6.4638309588E7,0.402,0,0
0,0,0,1,6.4638310224E7,0.636,0,0
1,0,0,1,6.4638310625E7,0.401,0,0
0,0,0,1,6.4638311265E7,0.64,0,0
1,0,0,1,6.4638311665E7,0.4,0,0
0,0,0,1,6.4638312301E7,0.636,0,0
1,0,0,1,6.4638312703E7,0.402,0,0
0,0,0,1,6.4638313339E7,0.636,0,0
1,0,0,1,6.4638313743E7,0.404,0,0
0,0,0,1,6.4638314382E7,0.639,0,0
1,0,0,1,6.4638314783E7,0.401,0,0
0,0,0,1,6.4638315419E7,0.636,0,0
1,0,0,1,6.4638315822E7,0.403,0,0
0,0,0,1,6.4638316458E7,0.636,0,0
1,0,0,1,6.4638316861E7,0.403,0,0
0,0,0,1,6.4638317501E7,0.64,0,0
1,0,0,1,6.4638317902E7,0.401,0,0
0,0,0,1,6.4638318537E7,0.635,0,0
1,0,0,1,6.4638318942E7,0.405,0,0
0,0,0,1,6.4638319578E7,0.636,0,0
1,0,0,1,6.4638319981E7,0.403,0,0
0,0,0,1,6.4638320619E7,0.638,0,0
1,0,0,1,6.4638321022E7,0.403,0,0
0,0,0,1,6.4638321657E7,0.635,0,0
1,0,0,1,6.4638322061E7,0.404,0,0
0,0,0,1,6.4638322697E7,0.636,0,0
1,0,0,1,6.4638323101E7,0.404,0,0
0,0,0,1,6.4638323739E7,0.638,0,0
1,0,0,1,6.4638324144E7,0.405,0,0
0,0,0,1,6.4638324778E7,0.634,0,0
1,0,0,1,6.4638325184E7,0.406,0,0
0,0,0,1,6.4638325822E7,0.638,1,0
1,0,0,1,6.4638326227E7,0.405,1,0
0,0,0,1,6.4638326869E7,0.642,1,0
1,0,0,1,6.4638327273E7,0.404,1,1
0,0,0,1,6.4638327912E7,0.639,1,1
1,0,0,1,6.4638328319E7,0.407,1,1
0,0,0,1,6.463832896E7,0.641,1,1
1,0,0,1,6.4638329367E7,0.407,1,1
0,0,0,1,6.4638330011E7,0.644,1,0
1,0,0,1,6.4638330417E7,0.406,1,0
0,0,0,1,6.4638331057E7,0.64,1,0
1,0,0,1,6.4638331464E7,0.407,1,0
0,0,0,1,6.4638332106E7,0.642,1,0
1,0,0,1,6.4638332512E7,0.406,1,0
0,0,0,1,6.4638333155E7,0.643,1,0
1,0,0,1,6.4638333561E7,0.406,1,0
