#Firmware: console20250221 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,0,3092054.841,3092054.841,0,0
0,0,0,0,3092054.994,0.153,0,0
1,0,0,0,3092055.139,0.145,0,0
0,0,0,0,3092055.396,0.257,0,0
1,0,0,0,3092055.49,0.094,0,0
0,0,0,0,3092056.799,1.309,0,0
1,0,0,0,3092056.92,0.121,0,0
0,0,0,0,3092060.938,4.018,0,0
1,0,0,0,3092087.367,26.429,0,0
0,0,0,0,3092099.755,12.388,0,0
1,0,0,0,3092116.399,16.644,0,0
0,0,0,0,3092126.201,9.802,0,0
1,0,0,0,3092137.97,11.769,0,0
0,0,0,0,3092147.068,9.098,0,0
1,0,0,0,3092157.332,10.264,0,0
0,0,0,0,3092165.52,8.188,0,0
1,0,0,0,3092175.415,9.895,0,0
0,0,0,0,3092183.089,7.674,0,0
1,0,0,0,3092192.531,9.442,0,0
0,0,0,0,3092200.023,7.492,0,0
1,0,0,0,3092209.178,9.155,0,0
0,0,0,0,3092216.407,7.229,0,0
1,0,0,0,3092225.112,8.705,0,0
0,0,0,0,3092231.942,6.83,0,0
1,0,0,0,3092239.737,7.795,0,0
0,0,0,0,3092245.846,6.109,0,0
1,0,0,0,3092252.838,6.992,0,0
0,0,0,0,3092258.426,5.588,0,0
1,0,0,0,3092264.807,6.381,0,0
0,0,0,0,3092269.875,5.068,0,0
1,0,0,0,3092275.87,5.995,0,0
0,0,0,0,3092280.763,4.893,0,0
1,0,0,0,3092286.713,5.95,0,0
0,0,0,0,3092291.604,4.891,0,0
1,0,0,0,3092297.66,6.056,0,0
0,0,0,0,3092302.323,4.663,0,0
1,0,0,0,3092307.729,5.406,0,0
0,0,0,0,3092312.31,4.581,0,0
1,0,0,0,3092317.888,5.578,0,0
0,0,0,0,3092322.337,4.449,0,0
1,0,0,0,3092327.933,5.596,0,0
0,0,0,0,3092332.42,4.487,0,0
1,0,0,0,3092337.963,5.543,0,0
0,0,0,0,3092342.446,4.483,0,0
1,0,0,0,3092348.042,5.596,0,0
0,0,0,0,3092352.669,4.627,0,0
1,0,0,0,3092358.394,5.725,0,0
0,0,0,0,3092363.144,4.75,0,0
1,0,0,0,3092369.051,5.907,0,0
0,0,0,0,3092374.009,4.958,0,0
1,0,0,0,3092380.326,6.317,0,0
0,0,0,0,3092385.63,5.304,0,0
