#Firmware: console20250221 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,0,970416.272,970416.272,0,0
0,0,0,0,970416.397,0.125,0,0
1,0,0,0,970416.574,0.177,0,0
0,0,0,0,970417.946,1.372,0,0
1,0,0,0,970418.062,0.116,0,0
0,0,0,0,970418.226,0.164,0,0
1,0,0,0,970418.363,0.137,0,0
0,0,0,0,970418.509,0.146,0,0
1,0,0,0,970418.644,0.135,0,0
0,0,0,0,970422.468,3.824,0,0
1,0,0,0,970446.29,23.822,0,0
0,0,0,0,970449.082,2.792,0,0
1,0,0,0,970463.594,14.512,0,0
0,0,0,0,970477.364,13.77,0,0
1,0,0,0,970489.533,12.169,0,0
0,0,0,0,970498.857,9.324,0,0
1,0,0,0,970509.447,10.59,0,0
0,0,0,0,970517.564,8.117,0,0
1,0,0,0,970527.088,9.524,0,0
0,0,0,0,970534.7,7.612,0,0
1,0,0,0,970543.726,9.026,0,0
0,0,0,0,970551.08,7.354,0,0
1,0,0,0,970560.176,9.096,0,0
0,0,0,0,970567.486,7.31,0,0
1,0,0,0,970576.667,9.181,0,0
0,0,0,0,970584.07,7.403,0,0
1,0,0,0,970593.34,9.27,0,0
0,0,0,0,970600.744,7.404,0,0
1,0,0,0,970609.706,8.962,0,0
0,0,0,0,970616.707,7.001,0,0
1,0,0,0,970624.574,7.867,0,0
0,0,0,0,970630.702,6.128,0,0
1,0,0,0,970637.481,6.779,0,0
0,0,0,0,970642.714,5.233,0,0
1,0,0,0,970648.595,5.881,0,0
0,0,0,0,970653.245,4.65,0,0
1,0,0,0,970658.627,5.382,0,0
0,0,0,0,970662.922,4.295,0,0
1,0,0,0,970668.083,5.161,0,0
0,0,0,0,970672.259,4.176,0,0
1,0,0,0,970677.378,5.119,0,0
0,0,0,0,970681.558,4.18,0,0
1,0,0,0,970686.771,5.213,0,0
0,0,0,0,970691.076,4.305,0,0
1,0,0,0,970696.52,5.444,0,0
0,0,0,0,970701.046,4.526,0,0
1,0,0,0,970714.067,13.021,0,0
0,0,0,1,970720.066,5.999,0,0
1,0,0,1,970725.381,5.315,0,0
0,0,0,1,970729.501,4.12,0,0
1,0,0,1,970734.806,5.305,0,0
0,0,0,1,970739.183,4.377,0,0
