#Firmware: console20250221 firmware 20250309@3679800073 proteus MINIMAL_PINS 7203
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,1,1.1499113606E7,1.1499113606E7,0,0
1,0,0,1,1.1499114745E7,1.139,0,0
0,0,0,1,1.1499115822E7,1.077,1,0
1,0,0,1,1.1499116968E7,1.146,1,0
0,0,0,1,1.1499118052E7,1.084,1,1
1,0,0,1,1.1499119201E7,1.149,1,1
0,0,0,1,1.149912029E7,1.089,1,1
1,0,0,1,1.1499121447E7,1.157,1,0
0,0,0,1,1.1499122543E7,1.096,1,0
1,0,0,1,1.1499123708E7,1.165,1,0
0,0,0,1,1.1499124803E7,1.095,1,0
1,0,0,1,1.1499125962E7,1.159,1,0
0,0,0,1,1.1499127055E7,1.093,1,0
1,0,0,1,1.1499128209E7,1.154,1,0
0,0,0,1,1.1499129298E7,1.089,1,0
1,0,0,1,1.1499130448E7,1.15,1,0
0,0,0,1,1.1499131529E7,1.081,1,0
1,0,0,1,1.1499132665E7,1.136,1,0
0,0,0,1,1.1499133736E7,1.071,1,0
1,0,0,1,1.1499134866E7,1.13,1,0
0,0,0,1,1.1499135938E7,1.072,1,0
1,0,0,1,1.1499137066E7,1.128,1,0
0,0,0,1,1.1499138135E7,1.069,1,0
1,0,0,1,1.1499139258E7,1.123,1,0
0,0,0,1,1.1499140321E7,1.063,1,0
1,0,0,1,1.1499143045E7,2.724,1,0
0,0,0,1,1.1499144735E7,1.69,1,0
1,0,0,1,1.1499145853E7,1.118,1,0
0,0,0,1,1.1499146931E7,1.078,1,0
1,0,0,1,1.1499148062E7,1.131,1,0
0,0,0,1,1.1499149143E7,1.081,1,0
1,0,0,1,1.1499150277E7,1.134,1,0
0,0,0,1,1.1499151355E7,1.078,1,0
1,0,0,1,1.1499152493E7,1.138,1,0
0,0,0,1,1.1499153576E7,1.083,1,0
1,0,0,1,1.1499154721E7,1.145,1,0
0,0,0,1,1.1499155809E7,1.088,0,0
1,0,0,1,1.1499156955E7,1.146,0,0
0,0,0,1,1.1499158047E7,1.092,0,1
1,0,0,1,1.14991592E7,1.153,0,1
0,0,0,1,1.1499160301E7,1.101,0,1
1,0,0,1,1.1499161461E7,1.16,0,0
0,0,0,1,1.1499162565E7,1.104,0,0
1,0,0,1,1.1499163724E7,1.159,0,0
0,0,0,1,1.1499164827E7,1.103,0,0
1,0,0,1,1.1499165985E7,1.158,0,0
0,0,0,1,1.1499167087E7,1.102,0,0
1,0,0,1,1.149916824E7,1.153,0,0
0,0,0,1,1.1499169332E7,1.092,0,0
1,0,0,1,1.1499170471E7,1.139,0,0
0,0,0,1,1.1499171552E7,1.081,0,0
1,0,0,1,1.1499172683E7,1.131,0,0
0,0,0,1,1.1499173758E7,1.075,0,0
1,0,0,1,1.1499174886E7,1.128,0,0
0,0,0,1,1.1499175959E7,1.073,0,0
1,0,0,1,1.1499177078E7,1.119,0,0
0,0,0,1,1.1499178146E7,1.068,0,0
1,0,0,1,1.1499179268E7,1.122,0,0
0,0,0,1,1.1499180341E7,1.073,0,0
1,0,0,1,1.1499181466E7,1.125,0,0
0,0,0,1,1.1499182537E7,1.071,0,0
1,0,0,1,1.149918366E7,1.123,0,0
0,0,0,1,1.1499184733E7,1.073,0,0
1,0,0,1,1.1499185863E7,1.13,0,0
0,0,0,1,1.1499186937E7,1.074,0,0
1,0,0,1,1.1499188067E7,1.13,0,0
0,0,0,1,1.1499189139E7,1.072,0,0
1,0,0,1,1.1499190273E7,1.134,0,0
0,0,0,1,1.1499191348E7,1.075,0,0
